sample	chr	startpos	endpos	nProbesCr	nProbesAf	logR	baf	nMajor	nMinor	purifiedLogR	purifiedLoh
patient2_i1	chr10	47451	38480450	34608	22037	-0.021	0.495	1	1	-0.166	0.084
patient2_i1	chr10	38596251	38615250	18	0	-1.016	NA	NA	NA	-10	NA
patient2_i1	chr10	38616251	133621150	82327	51637	-0.018	0.497	1	1	-0.147	0.048
patient2_i1	chr11	197251	135075250	119080	73097	-0.014	0.498	1	1	-0.111	0.035
patient2_i1	chr12	78551	2130150	1781	1260	-0.012	0.481	1	1	-0.092	0.31
patient2_i1	chr12	2136151	2148150	12	0	-1.035	NA	NA	NA	-10	NA
patient2_i1	chr12	2148151	33245600	27744	17899	-0.014	0.49	1	1	-0.111	0.159
patient2_i1	chr12	33245601	133248950	88011	52819	-0.02	0.499	1	1	-0.158	0.023
patient2_i1	chr13	18355101	57036100	35017	21872	-0.017	0.497	1	1	-0.135	0.047
patient2_i1	chr13	57036101	57256500	134	37	0.557	0.34	9	1	2.204	0.784
patient2_i1	chr13	57257501	114351950	52498	31879	-0.025	0.497	1	1	-0.202	0.049
patient2_i1	chr14	19960301	21900300	1697	1366	-0.015	0.495	1	1	-0.114	0.084
patient2_i1	chr14	21900301	22522300	100	101	-0.397	0.492	0	0	-10	0.113
patient2_i1	chr14	22522301	106883450	76162	41571	-0.01	0.497	1	1	-0.081	0.047
patient2_i1	chr15	17034751	23123050	532	395	-0.11	0.479	1	0	-1.184	0.668
patient2_i1	chr15	23368151	23426150	50	2	0.552	0.489	5	5	2.192	0.055
patient2_i1	chr15	23434151	101885550	68467	42097	-0.104	0.474	1	0	-1.096	0.783
patient2_i1	chr16	17001	69945000	47247	26806	-0.104	0.473	1	0	-1.096	0.824
patient2_i1	chr16	69945001	70200000	79	22	0.526	0.376	8	2	2.128	0.624
patient2_i1	chr16	70206001	90100000	17299	14827	-0.104	0.477	1	0	-1.094	0.71
patient2_i1	chr17	387901	8599750	6760	4499	0.021	0.43	2	0	0.151	0.987
patient2_i1	chr17	8599751	31565950	15289	8033	-0.004	0.441	2	0	-0.033	0.925
patient2_i1	chr17	31565951	43359050	9409	5391	-0.092	0.464	1	0	-0.925	0.984
patient2_i1	chr17	43359051	72917050	25171	13607	-0.01	0.442	2	0	-0.08	0.932
patient2_i1	chr17	72917051	73960050	951	936	0.155	0.394	4	0	0.903	0.962
patient2_i1	chr17	73960051	83204050	8033	4864	-0.002	0.439	2	0	-0.016	0.946
patient2_i1	chr18	64351	80257250	68030	39234	0.129	0.459	3	1	0.78	0.4
patient2_i1	chr19	270951	3800950	2687	1858	0.004	0.438	2	0	0.028	0.94
patient2_i1	chr19	3800951	3846950	37	8	0.524	0.39	7	2	2.123	0.559
patient2_i1	chr19	3846951	12865250	6824	3975	-0.013	0.444	2	0	-0.1	0.912
patient2_i1	chr19	12865251	36183950	17263	11441	0.157	0.489	2	2	0.912	0.1
patient2_i1	chr19	36185951	58538400	17509	11474	-0.024	0.442	2	0	-0.198	1
patient2_i1	chr20	67651	39045750	31700	17577	0.022	0.497	1	1	0.158	0.037
patient2_i1	chr20	39045751	64285950	22930	13673	0.082	0.484	2	1	0.534	0.181
patient2_i1	chr21	12965551	46681650	29754	18531	-0.016	0.496	1	1	-0.127	0.06
patient2_i1	chr22	10684001	50776650	28811	14261	-0.096	0.467	1	0	-0.979	0.943
patient2_i1	chrX	330051	155983250	128494	40070	-0.162	0.459	0	0	-2.41	2.956
patient2_i2	chr1	794251	9661500	7652	4534	0.024	0.45	1	1	0.045	0.188
patient2_i2	chr1	9661501	10714500	848	452	0.311	0.374	2	1	0.543	0.406
patient2_i2	chr1	10714501	118104350	95228	51149	0.015	0.446	1	1	0.029	0.203
patient2_i2	chr1	118104351	214137900	61613	32769	0.204	0.448	2	1	0.366	0.178
patient2_i2	chr1	214137901	214956900	776	411	0.382	0.396	2	1	0.657	0.328
patient2_i2	chr1	214956901	220521900	5191	2452	0.185	0.453	2	1	0.334	0.161
patient2_i2	chr1	220521901	248930600	25249	15181	0.24	0.435	2	1	0.426	0.218
patient2_i2	chr2	11001	11129750	10214	6900	-0.007	0.402	2	1	-0.014	0.376
patient2_i2	chr2	11129751	11916750	718	216	0.209	0.491	2	1	0.374	0.03
patient2_i2	chr2	11916751	28293150	15115	9650	-0.003	0.405	2	1	-0.006	0.363
patient2_i2	chr2	28293151	29100150	730	381	0.269	0.328	3	1	0.474	0.566
patient2_i2	chr2	29100151	70190750	37511	25613	-0.033	0.419	1	1	-0.064	0.314
patient2_i2	chr2	70190751	70980750	720	478	0.258	0.489	2	2	0.458	0.037
patient2_i2	chr2	70980751	101658550	21214	10844	-0.055	0.414	1	1	-0.107	0.339
patient2_i2	chr2	101658551	140997250	34031	17217	-0.11	0.42	1	1	-0.216	0.326
patient2_i2	chr2	140997251	141682250	634	677	-0.246	0.426	1	1	-0.512	0.337
patient2_i2	chr2	141682251	242110100	92317	44593	-0.084	0.408	1	1	-0.164	0.369
patient2_i2	chr3	12351	15900050	14648	10081	0	0.256	2	0	0.001	0.927
patient2_i2	chr3	15902051	86621750	64570	35326	0.044	0.25	2	0	0.082	0.926
patient2_i2	chr3	86621751	112109350	20619	8265	0.272	0.214	3	0	0.48	0.941
patient2_i2	chr3	112109351	113135350	953	201	0.426	0.195	4	0	0.725	0.943
patient2_i2	chr3	113135351	117008350	3621	1014	0.274	0.214	3	0	0.483	0.941
patient2_i2	chr3	117008351	117174350	151	89	-0.015	0.261	2	0	-0.028	0.918
patient2_i2	chr3	117175351	169387550	47897	27074	0.304	0.209	3	0	0.532	0.944
patient2_i2	chr3	169387551	170162550	704	227	0.933	0.138	6	0	1.449	0.964
patient2_i2	chr3	170162551	198098650	24933	13556	0.362	0.201	3	0	0.626	0.947
patient2_i2	chr4	137201	7966750	6959	5311	-0.055	0.497	1	1	-0.106	0.01
patient2_i2	chr4	7966751	8667750	642	707	0.234	0.407	2	1	0.416	0.311
patient2_i2	chr4	8667751	181589050	156181	93822	-0.09	0.495	1	1	-0.176	0.02
patient2_i2	chr4	181589051	182195050	567	384	-0.481	0.364	1	0	-1.119	0.807
patient2_i2	chr4	182195051	190037450	6869	5833	-0.099	0.495	1	1	-0.194	0.021
patient2_i2	chr5	43851	14954700	13638	9233	0.291	0.44	2	1	0.511	0.196
patient2_i2	chr5	14954701	16408700	1382	749	0.019	0.469	1	1	0.037	0.118
patient2_i2	chr5	16408701	17516700	992	664	0.302	0.445	2	1	0.53	0.178
patient2_i2	chr5	17630201	17645200	14	0	-0.829	NA	NA	NA	-2.568	NA
patient2_i2	chr5	17645201	62886250	37840	22193	0.292	0.437	2	1	0.512	0.204
patient2_i2	chr5	62886251	163350450	90513	50532	0.11	0.36	2	1	0.203	0.499
patient2_i2	chr5	163350451	163450450	96	5	-0.11	0.484	1	1	-0.217	0.066
patient2_i2	chr5	163450451	181171350	15473	9901	0.119	0.357	2	1	0.218	0.507
patient2_i2	chr6	148001	42703250	37938	29311	0.192	0.227	3	0	0.345	0.933
patient2_i2	chr6	42703251	43150250	349	146	0.401	0.21	4	0	0.686	0.906
patient2_i2	chr6	43152251	68250400	21040	14035	0.213	0.22	3	0	0.381	0.949
patient2_i2	chr6	68250401	73356400	4696	2914	0.296	0.21	3	0	0.519	0.946
patient2_i2	chr6	73357401	79569400	5616	4529	-0.074	0.27	2	0	-0.144	0.917
patient2_i2	chr6	79569401	79941400	352	314	0.203	0.223	3	0	0.364	0.942
patient2_i2	chr6	79941401	104656850	22950	14922	-0.447	0.35	1	0	-1.019	0.845
patient2_i2	chr6	104657851	104750850	80	18	-0.739	0.484	0	0	-2.072	0.148
patient2_i2	chr6	104750851	170610150	60692	36357	-0.44	0.349	1	0	-0.999	0.846
patient2_i2	chr7	50351	104505150	87283	53174	0.122	0.442	2	1	0.224	0.205
patient2_i2	chr7	104505151	105292150	711	3	0.512	0.479	2	2	0.856	0.062
patient2_i2	chr7	105293151	159333850	48160	26594	0.121	0.436	2	1	0.222	0.227
patient2_i2	chr8	206001	37814050	32559	26598	0.202	0.398	2	1	0.364	0.345
patient2_i2	chr8	37814051	46613350	5968	2955	0.272	0.42	2	1	0.48	0.263
patient2_i2	chr8	46613351	46633350	20	0	0.998	NA	NA	NA	1.534	NA
patient2_i2	chr8	46633351	121442550	69099	36781	0.218	0.404	2	1	0.39	0.325
patient2_i2	chr8	121442551	145075350	21796	15152	0.258	0.426	2	1	0.456	0.246
patient2_i2	chr9	11001	138208550	99217	56505	-0.063	0.495	1	1	-0.122	0.019
patient2_i2	chr10	47451	38480450	34608	22037	-0.061	0.498	1	1	-0.118	0.01
patient2_i2	chr10	38596251	38614250	17	0	-1.016	NA	NA	NA	-4.71	NA
patient2_i2	chr10	38614251	133621150	82328	51637	-0.043	0.491	1	1	-0.082	0.036
patient2_i2	chr11	197251	34188450	30842	20796	-0.067	0.496	1	1	-0.131	0.016
patient2_i2	chr11	34188451	35015700	621	546	0.321	0.384	2	1	0.559	0.373
patient2_i2	chr11	35015701	45680700	9969	5209	-0.073	0.492	1	1	-0.142	0.031
patient2_i2	chr11	45680701	45917700	226	106	-0.459	0.354	1	0	-1.053	0.841
patient2_i2	chr11	45917701	67573150	15638	8163	-0.051	0.496	1	1	-0.098	0.014
patient2_i2	chr11	67573151	74263450	5873	3063	-0.049	0.495	1	1	-0.094	0.019
patient2_i2	chr11	74263451	74990450	642	132	0.238	0.413	2	1	0.424	0.291
patient2_i2	chr11	74990451	101071400	23711	15461	-0.071	0.495	1	1	-0.139	0.02
patient2_i2	chr11	101071401	102659400	1449	703	0.229	0.407	2	1	0.409	0.313
patient2_i2	chr11	102659401	135075250	30109	18918	-0.075	0.497	1	1	-0.146	0.011
patient2_i2	chr12	78551	730150	544	467	-0.062	0.487	1	1	-0.12	0.05
patient2_i2	chr12	730151	887150	126	103	-0.442	0.356	1	0	-1.006	0.809
patient2_i2	chr12	887151	2130150	1111	690	-0.041	0.491	1	1	-0.079	0.036
patient2_i2	chr12	2136151	2148150	12	0	-1.044	NA	NA	NA	-5.59	NA
patient2_i2	chr12	2148151	30999350	26002	16628	-0.064	0.491	1	1	-0.125	0.034
patient2_i2	chr12	30999351	32577600	1141	814	0.159	0.44	2	1	0.289	0.207
patient2_i2	chr12	32577601	111438750	69550	39915	-0.069	0.497	1	1	-0.134	0.012
patient2_i2	chr12	111438751	112243750	647	52	0.286	0.432	2	1	0.503	0.222
patient2_i2	chr12	112243751	121000250	7776	4585	-0.062	0.496	1	1	-0.121	0.014
patient2_i2	chr12	121000251	122434250	1108	573	-0.224	0.43	1	1	-0.46	0.315
patient2_i2	chr12	122437251	133248950	9531	8151	-0.062	0.496	1	1	-0.121	0.016
patient2_i2	chr13	18355101	57036100	35017	21872	-0.029	0.487	1	1	-0.056	0.05
patient2_i2	chr13	57036101	57256500	134	37	0.544	0.361	3	1	0.903	0.413
patient2_i2	chr13	57257501	114351950	52498	31879	-0.039	0.497	1	1	-0.074	0.011
patient2_i2	chr14	19960301	106883450	77959	43038	-0.011	0.494	1	1	-0.021	0.021
patient2_i2	chr15	17034751	23123050	532	395	-0.438	0.355	1	0	-0.996	0.81
patient2_i2	chr15	23368151	23426150	50	2	0.3	0.326	3	1	0.526	0.566
patient2_i2	chr15	23434151	63678600	34715	19745	-0.434	0.348	1	0	-0.983	0.847
patient2_i2	chr15	63678601	101885550	33752	22352	-0.437	0.349	1	0	-0.992	0.845
patient2_i2	chr16	17001	16222250	13522	11784	-0.417	0.35	1	0	-0.935	0.82
patient2_i2	chr16	16449251	16653250	36	8	0.257	0.489	2	2	0.456	0.036
patient2_i2	chr16	16749251	69943000	33688	15013	-0.43	0.348	1	0	-0.972	0.841
patient2_i2	chr16	69944001	70200000	80	23	0.3	0.413	2	1	0.526	0.282
patient2_i2	chr16	70206001	90100000	17299	14827	-0.424	0.348	1	0	-0.956	0.833
patient2_i2	chr17	387901	1078850	510	437	-0.023	0.269	2	0	-0.044	0.891
patient2_i2	chr17	1079851	1721750	501	377	0.298	0.221	3	0	0.523	0.908
patient2_i2	chr17	1723751	6743750	4194	2828	-0.032	0.266	2	0	-0.061	0.91
patient2_i2	chr17	6743751	8581750	1542	856	0.148	0.236	3	0	0.269	0.925
patient2_i2	chr17	8581751	28841950	13102	7447	-0.049	0.272	2	0	-0.095	0.896
patient2_i2	chr17	28841951	29626950	662	121	0.264	0.217	3	0	0.467	0.934
patient2_i2	chr17	29626951	31641950	1607	515	-0.032	0.276	2	0	-0.062	0.868
patient2_i2	chr17	31641951	39667200	6292	3751	-0.272	0.312	1	0	-0.572	0.881
patient2_i2	chr17	39668201	40383200	597	349	0.08	0.247	2	0	0.15	0.917
patient2_i2	chr17	40384201	43359050	2451	1242	-0.244	0.302	2	0	-0.506	0.904
patient2_i2	chr17	43359051	44807050	1203	553	-0.028	0.268	2	0	-0.054	0.9
patient2_i2	chr17	44807051	45496050	556	304	0.264	0.223	3	0	0.466	0.917
patient2_i2	chr17	45505051	72912050	23407	12697	-0.046	0.268	2	0	-0.089	0.911
patient2_i2	chr17	72912051	73967050	961	992	0.295	0.214	3	0	0.518	0.931
patient2_i2	chr17	73967051	75505050	1353	827	-0.043	0.266	2	0	-0.083	0.916
patient2_i2	chr17	75505051	76071050	471	138	0.162	0.245	3	0	0.293	0.887
patient2_i2	chr17	76071051	83204050	6204	3896	-0.021	0.265	2	0	-0.041	0.904
patient2_i2	chr18	64351	80257250	68030	39234	0.277	0.419	2	1	0.488	0.265
patient2_i2	chr19	270951	932950	480	405	-0.012	0.364	2	1	-0.022	0.52
patient2_i2	chr19	932951	1168950	189	225	0.193	0.308	2	1	0.348	0.656
patient2_i2	chr19	1168951	1688950	413	194	-0.375	0.492	1	1	-0.824	0.042
patient2_i2	chr19	1689951	2187950	372	197	0.305	0.304	3	1	0.534	0.635
patient2_i2	chr19	2187951	12852250	8087	4817	-0.001	0.361	2	1	-0.002	0.529
patient2_i2	chr19	12854251	14514250	1256	615	0.548	0.467	2	2	0.91	0.098
patient2_i2	chr19	14514251	36186950	16015	10830	0.433	0.497	2	2	0.736	0.008
patient2_i2	chr19	36190951	58538400	17508	11473	0.052	0.341	2	1	0.098	0.587
patient2_i2	chr20	67651	32665750	26250	15223	0.268	0.42	2	1	0.472	0.263
patient2_i2	chr20	32666751	39042750	5447	2353	0.024	0.493	1	1	0.044	0.025
patient2_i2	chr20	39042751	64285950	22933	13674	0.265	0.419	2	1	0.468	0.267
patient2_i2	chr21	12965551	30909800	16034	9217	-0.074	0.496	1	1	-0.144	0.018
patient2_i2	chr21	30909801	31651800	653	338	0.244	0.408	2	1	0.434	0.307
patient2_i2	chr21	31651801	46681650	13067	8976	-0.065	0.495	1	1	-0.127	0.02
patient2_i2	chr22	10684001	45857000	24410	11071	-0.275	0.319	1	0	-0.578	0.849
patient2_i2	chr22	45857001	46046000	168	129	-0.064	0.265	2	0	-0.124	0.932
patient2_i2	chr22	46046001	46442000	354	124	0.176	0.25	3	0	0.319	0.86
patient2_i2	chr22	46442001	50776650	3879	2937	-0.27	0.31	1	0	-0.565	0.885
patient2_i2	chrX	330051	153986150	127085	39902	-0.456	0.347	1	0	-1.046	0.873
patient2_i2	chrX	153986151	154522150	309	13	-0.26	0.335	1	0	-0.542	0.763
patient2_i2	chrX	154522151	155983250	1100	155	-0.469	0.349	1	0	-1.083	0.879
patient2_i3	chr1	794251	248930600	196557	106948	0.001	0.489	1	1	0.001	0.023
patient2_i3	chr2	11001	242110100	213204	116569	-0.007	0.492	1	1	-0.007	0.016
patient2_i3	chr3	12351	198098650	178096	95833	-0.007	0.496	1	1	-0.007	0.008
patient2_i3	chr4	137201	190037450	171218	106057	-0.014	0.498	1	1	-0.014	0.003
patient2_i3	chr5	43851	181171350	159948	93277	-0.013	0.487	1	1	-0.013	0.026
patient2_i3	chr6	148001	170610150	153713	102546	-0.004	0.488	1	1	-0.004	0.025
patient2_i3	chr7	50351	159333850	136154	79771	0.001	0.489	1	1	0.001	0.021
patient2_i3	chr8	206001	46613350	38527	29553	-0.006	0.486	1	1	-0.006	0.029
patient2_i3	chr8	46613351	46633350	20	0	0.864	NA	NA	NA	0.864	NA
patient2_i3	chr8	46633351	145075350	90895	51933	-0.014	0.491	1	1	-0.014	0.018
patient2_i3	chr9	11001	138208550	99217	56505	-0	0.488	1	1	-0	0.024
patient2_i3	chr10	47451	133621150	116953	73674	-0.001	0.487	1	1	-0.001	0.026
patient2_i3	chr11	197251	48037700	43413	27095	-0.014	0.49	1	1	-0.014	0.02
patient2_i3	chr11	48037701	135075250	75667	46002	-0.009	0.492	1	1	-0.009	0.017
patient2_i3	chr12	78551	2130150	1781	1260	0.036	0.495	1	1	0.036	0.01
patient2_i3	chr12	2136151	2149150	13	0	-0.946	NA	NA	NA	-0.946	NA
patient2_i3	chr12	2149151	33230600	27732	17898	0.003	0.49	1	1	0.003	0.02
patient2_i3	chr12	33230601	119703250	76328	43467	-0.003	0.485	1	1	-0.003	0.031
patient2_i3	chr12	119703251	133248950	11694	9353	0.012	0.492	1	1	0.012	0.015
patient2_i3	chr13	18355101	52486100	30836	19380	0.006	0.492	1	1	0.006	0.016
patient2_i3	chr13	52487101	52552100	10	0	-0.958	NA	NA	NA	-0.958	NA
patient2_i3	chr13	52579101	57037100	4172	2493	-0.03	0.496	1	1	-0.03	0.007
patient2_i3	chr13	57037101	57256500	133	36	0.567	0.352	2	1	0.567	0.295
patient2_i3	chr13	57257501	114351950	52498	31879	-0.015	0.491	1	1	-0.015	0.018
patient2_i3	chr14	19960301	106883450	77959	43038	0	0.491	1	1	0	0.017
patient2_i3	chr15	17034751	23123050	532	395	0.016	0.487	1	1	0.016	0.026
patient2_i3	chr15	23368151	23426150	50	2	0.593	0.484	2	1	0.593	0.032
patient2_i3	chr15	23434151	45703200	18270	11099	0.01	0.496	1	1	0.01	0.008
patient2_i3	chr15	45703201	61394600	14316	7161	0.008	0.494	1	1	0.008	0.013
patient2_i3	chr15	61394601	61406600	12	0	-0.984	NA	NA	NA	-0.984	NA
patient2_i3	chr15	61406601	101885550	35869	23837	0.012	0.496	1	1	0.012	0.008
patient2_i3	chr16	17001	16222250	13522	11784	0.024	0.494	1	1	0.024	0.011
patient2_i3	chr16	16449251	16653250	36	8	0.536	0.486	1	1	0.536	0.028
patient2_i3	chr16	16749251	18214250	1215	680	-0.007	0.492	1	1	-0.007	0.015
patient2_i3	chr16	18536251	18621250	20	0	0.577	NA	NA	NA	0.577	NA
patient2_i3	chr16	18658251	69943000	32453	14333	0.005	0.493	1	1	0.005	0.013
patient2_i3	chr16	69944001	70200000	80	23	0.627	0.365	2	1	0.627	0.269
patient2_i3	chr16	70206001	90100000	17299	14827	0.014	0.492	1	1	0.014	0.017
patient2_i3	chr17	387901	83204050	65613	37330	0.023	0.488	1	1	0.023	0.023
patient2_i3	chr18	64351	80257250	68030	39234	-0.007	0.493	1	1	-0.007	0.013
patient2_i3	chr19	270951	3799950	2686	1858	0.084	0.492	1	1	0.084	0.017
patient2_i3	chr19	3799951	3846950	38	8	0.662	0.356	2	1	0.662	0.288
patient2_i3	chr19	3846951	24183500	15982	9459	0.063	0.487	1	1	0.063	0.026
patient2_i3	chr19	24183501	32542150	4972	4136	-0.015	0.496	1	1	-0.015	0.009
patient2_i3	chr19	32542151	58538400	20642	13295	0.052	0.489	1	1	0.052	0.021
patient2_i3	chr20	67651	64285950	54630	31250	0.003	0.486	1	1	0.003	0.028
patient2_i3	chr21	12965551	46681650	29754	18531	0.003	0.492	1	1	0.003	0.016
patient2_i3	chr22	10684001	50776650	28811	14261	0.027	0.496	1	1	0.027	0.007
patient2_i3	chrX	330051	155983250	128494	40070	-0.012	0.487	1	1	-0.012	0.025
patient2_i4	chr1	794251	9660500	7651	4534	-0.024	0.494	1	1	-0.03	0.016
patient2_i4	chr1	9660501	10003500	265	84	0.517	0.365	2	1	0.629	0.317
patient2_i4	chr1	10004501	10476500	380	229	0.822	0.28	3	1	0.981	0.501
patient2_i4	chr1	10476501	10592500	96	67	0.445	0.377	2	1	0.544	0.292
patient2_i4	chr1	10592501	10714500	108	72	0.844	0.283	3	1	1.006	0.492
patient2_i4	chr1	10714501	21730500	8426	5751	-0.034	0.498	1	1	-0.043	0.005
patient2_i4	chr1	21732501	22290500	462	135	0.432	0.376	2	1	0.529	0.295
patient2_i4	chr1	22290501	118556350	86767	45549	-0.065	0.489	1	1	-0.082	0.028
patient2_i4	chr1	118556351	154794200	7290	3559	0.419	0.358	2	1	0.513	0.338
patient2_i4	chr1	154794201	155908200	888	299	0.797	0.286	3	1	0.953	0.487
patient2_i4	chr1	155909201	191557650	32721	19032	0.399	0.358	2	1	0.49	0.338
patient2_i4	chr1	191557651	191724650	150	61	0.693	0.287	3	1	0.833	0.489
patient2_i4	chr1	191724651	214135900	20136	9532	0.394	0.36	2	1	0.484	0.334
patient2_i4	chr1	214136901	214958900	779	413	0.762	0.282	3	1	0.913	0.497
patient2_i4	chr1	214958901	248930600	30438	17631	0.401	0.36	2	1	0.492	0.333
patient2_i4	chr2	11001	11129750	10214	6900	-0.083	0.494	1	1	-0.107	0.017
patient2_i4	chr2	11129751	11915750	717	216	0.402	0.364	2	1	0.494	0.324
patient2_i4	chr2	11915751	28293150	15116	9650	-0.064	0.49	1	1	-0.081	0.026
patient2_i4	chr2	28293151	29099150	729	380	0.391	0.354	2	1	0.48	0.347
patient2_i4	chr2	29099151	70190750	37512	25614	-0.067	0.496	1	1	-0.085	0.011
patient2_i4	chr2	70190751	70980750	720	478	0.424	0.367	2	1	0.52	0.316
patient2_i4	chr2	70980751	97105650	17514	8475	-0.07	0.488	1	1	-0.09	0.03
patient2_i4	chr2	97626551	97897550	245	131	0.409	0.356	2	1	0.502	0.342
patient2_i4	chr2	97897551	179009150	72596	35061	-0.071	0.491	1	1	-0.091	0.022
patient2_i4	chr2	179010151	204581550	23570	9503	-0.759	0.19	1	0	-1.056	0.964
patient2_i4	chr2	204581551	242110100	34271	20161	-0.063	0.496	1	1	-0.081	0.011
patient2_i4	chr3	12351	15899050	14647	10081	0.376	0.087	3	0	0.462	0.987
patient2_i4	chr3	15899051	16567950	630	394	0.725	0.068	4	0	0.87	0.99
patient2_i4	chr3	16567951	112108350	84559	43197	0.377	0.087	3	0	0.464	0.986
patient2_i4	chr3	112108351	113133350	952	201	0.755	0.069	4	0	0.904	0.985
patient2_i4	chr3	113133351	116359350	3020	737	0.397	0.088	3	0	0.487	0.983
patient2_i4	chr3	116366351	116396350	30	1	-0.101	0.489	1	1	-0.13	0.028
patient2_i4	chr3	116396351	117008350	573	276	0.34	0.088	3	0	0.42	0.989
patient2_i4	chr3	117008351	117174350	151	89	-0.07	0.126	2	0	-0.09	0.963
patient2_i4	chr3	117175351	169387550	47897	27074	0.402	0.085	3	0	0.494	0.987
patient2_i4	chr3	169387551	170162550	704	227	1.058	0.054	5	0	1.246	0.993
patient2_i4	chr3	170162551	198098650	24933	13556	0.411	0.085	3	0	0.504	0.987
patient2_i4	chr4	137201	7966750	6959	5311	-0.05	0.49	1	1	-0.064	0.025
patient2_i4	chr4	7966751	8667750	642	707	0.408	0.357	2	1	0.501	0.341
patient2_i4	chr4	8667751	9613350	615	696	-0.052	0.493	1	1	-0.066	0.018
patient2_i4	chr4	9618351	9631350	12	0	-1.142	NA	NA	NA	-1.706	NA
patient2_i4	chr4	9631351	36292350	24727	14146	-0.1	0.492	1	1	-0.128	0.019
patient2_i4	chr4	36292351	36468350	169	128	0.348	0.368	2	1	0.428	0.318
patient2_i4	chr4	36469351	157908050	108893	64948	-0.09	0.487	1	1	-0.115	0.033
patient2_i4	chr4	157908051	157974050	60	6	0.357	0.454	2	1	0.439	0.111
patient2_i4	chr4	157974051	162152300	3812	2645	-0.113	0.489	1	1	-0.145	0.029
patient2_i4	chr4	162152301	162322300	155	98	0.334	0.378	2	1	0.412	0.292
patient2_i4	chr4	162322301	181589050	17738	11155	-0.1	0.495	1	1	-0.129	0.014
patient2_i4	chr4	181589051	182195050	567	384	-0.789	0.202	1	0	-1.103	0.941
patient2_i4	chr4	182195051	190037450	6869	5833	-0.083	0.495	1	1	-0.106	0.014
patient2_i4	chr5	43851	2855450	2335	1805	0.398	0.364	2	1	0.489	0.324
patient2_i4	chr5	2855451	2909450	50	92	0.7	0.289	3	1	0.842	0.486
patient2_i4	chr5	2909451	6644850	3550	2839	0.34	0.365	2	1	0.418	0.325
patient2_i4	chr5	6644851	6747850	93	104	0.696	0.477	2	2	0.837	0.052
patient2_i4	chr5	6747851	14954700	7610	4393	0.379	0.359	2	1	0.466	0.337
patient2_i4	chr5	14954701	16410700	1384	749	-0.076	0.495	1	1	-0.097	0.013
patient2_i4	chr5	16410701	16799700	365	348	0.398	0.36	2	1	0.489	0.333
patient2_i4	chr5	16799701	16911700	100	100	-0.066	0.485	1	1	-0.085	0.039
patient2_i4	chr5	16911701	17516700	525	216	0.433	0.36	2	1	0.53	0.333
patient2_i4	chr5	17630201	17645200	14	0	-1.068	NA	NA	NA	-1.57	NA
patient2_i4	chr5	17645201	45004550	24709	14415	0.374	0.363	2	1	0.46	0.326
patient2_i4	chr5	45004551	45013550	9	0	-0.894	NA	NA	NA	-1.271	NA
patient2_i4	chr5	45014551	121666350	65350	36157	0.379	0.363	2	1	0.466	0.328
patient2_i4	chr5	121666351	121806350	135	1	0.725	0.482	2	2	0.87	0.042
